pressure ,maxtemp,temparature,mintemp,dewpoint,humidity ,cloud ,rainfall,sunshine,         winddirection,windspeed,Year,Month,Day_from_date
1008.8,30.4,26.9,25.0,24.3,86,87,yes,0.7,20.0,9.8,2023,1,27
1018.3,22.2,20.0,18.4,16.3,79,89,yes,2.4,40.0,14.8,2023,1,28
1015.6,23.8,21.3,19.8,19.6,90,81,yes,1.5,40.0,14.5,2023,1,29
1000.3,31.3,28.6,26.2,25.0,81,88,yes,2.5,240.0,18.8,2023,1,30
1011.2,27.1,24.8,22.5,19.4,73,69,yes,7.2,10.0,21.9,2023,1,31
1016.2,20.7,20.0,19.4,17.1,83,88,no,0.2,70.0,39.5,2023,2,1
1020.3,20.6,19.9,18.7,17.6,87,88,yes,0.3,60.0,27.3,2023,2,2
1005.7,31.7,28.2,26.6,25.7,86,79,yes,6.5,,,2023,2,3
1021.4,19.4,17.7,15.7,9.6,59,74,yes,2.4,50.0,20.5,2023,2,4
1017.0,29.2,26.7,25.5,23.3,82,46,yes,9.5,110.0,15.8,2023,2,5
1010.1,22.8,21.5,20.1,19.9,91,89,yes,0.0,70.0,31.8,2023,2,6
1009.1,35.1,31.3,29.4,26.3,75,57,yes,9.9,160.0,11.9,2023,2,7
1016.4,28.7,26.5,25.5,23.6,84,70,yes,5.9,70.0,18.0,2023,2,8
1007.2,29.6,28.3,26.7,25.9,87,82,yes,0.5,250.0,21.3,2023,2,9
1021.8,18.8,15.2,13.3,10.9,76,45,no,9.2,40.0,9.1,2023,2,10
1021.2,18.6,14.8,12.3,8.4,66,18,no,10.1,20.0,24.4,2023,2,11
1015.6,30.1,26.5,24.3,22.1,77,48,no,9.5,60.0,10.3,2023,2,12
1014.4,26.7,23.1,20.1,20.8,87,81,yes,1.2,80.0,19.6,2023,2,13
1020.1,17.6,16.4,15.3,12.5,78,84,no,1.0,60.0,38.0,2023,2,14
1016.8,26.2,25.4,24.5,22.3,83,81,yes,0.8,80.0,28.9,2023,2,15
1008.3,33.3,29.4,26.8,24.1,74,29,no,5.7,10.0,4.4,2023,2,16
1015.8,30.3,26.7,24.8,23.3,82,58,yes,7.7,50.0,12.8,2023,2,17
1007.9,32.3,29.9,26.7,25.8,79,78,yes,4.1,220.0,25.1,2023,2,18
1017.8,22.3,21.1,19.8,19.6,91,79,yes,0.0,40.0,15.0,2023,2,19
1009.1,35.1,31.3,29.4,26.3,75,57,yes,9.9,160.0,11.9,2023,2,20
1011.0,32.7,29.8,28.2,24.8,75,78,yes,8.5,140.0,12.7,2023,2,21
1013.9,27.2,25.5,24.4,23.8,90,51,no,7.0,80.0,17.2,2023,2,22
1013.3,26.5,23.1,21.5,21.6,91,83,no,6.9,70.0,20.0,2023,2,23
1011.0,29.8,25.6,22.8,23.6,89,82,yes,2.0,50.0,11.1,2023,2,24
1022.5,17.2,15.2,13.4,4.3,49,11,no,9.3,10.0,48.0,2023,2,25
1005.0,31.5,29.7,28.5,26.7,84,90,yes,1.3,220.0,24.3,2023,2,26
1013.7,25.9,24.8,23.6,23.5,93,74,yes,2.3,80.0,25.5,2023,2,27
1008.6,35.0,30.8,28.3,25.5,74,28,no,11.0,130.0,8.3,2023,2,28
1004.2,31.7,30.2,29.2,26.6,81,88,yes,2.4,220.0,30.0,2023,3,1
1024.4,24.8,18.5,14.4,10.1,61,19,no,10.7,40.0,16.9,2023,3,2
1017.8,22.3,21.1,19.8,19.6,91,79,yes,0.0,40.0,15.0,2023,3,3
1008.5,28.6,27.0,24.9,25.0,89,88,yes,0.3,220.0,14.2,2023,3,4
1016.4,28.7,26.5,25.5,23.6,84,70,yes,5.9,70.0,18.0,2023,3,5
1017.6,25.1,22.9,22.0,19.0,79,85,no,2.0,70.0,25.0,2023,3,6
1010.5,30.0,27.8,26.1,23.1,76,54,no,10.6,300.0,13.0,2023,3,7
1016.5,20.4,18.1,16.5,16.4,90,90,yes,2.1,40.0,23.3,2023,3,8
1013.0,24.9,22.4,20.3,21.4,94,85,yes,1.5,40.0,12.5,2023,3,9
1014.9,22.4,18.8,17.2,16.4,86,80,yes,2.4,40.0,15.8,2023,3,10
1011.2,32.2,28.9,26.9,24.6,78,69,no,10.7,20.0,11.8,2023,3,11
1014.4,26.7,23.1,20.1,20.8,87,81,yes,1.2,80.0,19.6,2023,3,12
1015.2,28.7,25.2,23.1,20.7,76,19,no,9.1,90.0,14.1,2023,3,13
1028.9,16.8,14.8,13.5,10.5,76,87,no,0.1,20.0,20.4,2023,3,14
1017.5,17.3,16.6,15.3,9.8,64,77,yes,0.1,40.0,22.0,2023,3,15
1017.6,25.1,22.9,22.0,19.0,79,85,no,2.0,70.0,25.0,2023,3,16
998.5,34.7,31.0,26.9,24.8,71,80,yes,10.0,220.0,26.4,2023,3,17
1011.2,32.2,28.9,26.9,24.6,78,69,no,10.7,20.0,11.8,2023,3,18
1000.1,32.0,30.2,28.4,24.4,71,48,yes,6.1,10.0,12.0,2023,3,19
1013.2,26.9,23.9,22.4,22.3,91,84,no,1.8,40.0,10.0,2023,3,20
1012.2,23.4,22.5,20.8,18.7,80,89,yes,0.3,60.0,27.0,2023,3,21
1018.9,16.2,14.1,10.3,12.9,92,100,yes,0.0,50.0,35.3,2023,3,22
1025.3,19.2,17.3,15.2,13.3,78,86,yes,1.2,20.0,20.9,2023,3,23
1001.0,34.2,31.0,28.1,25.9,75,46,no,10.4,280.0,23.5,2023,3,24
1008.2,30.2,27.8,26.5,25.0,85,81,yes,2.5,90.0,15.1,2023,3,25
1013.4,30.8,26.2,23.6,19.5,69,17,no,10.5,70.0,12.4,2023,3,26
1006.5,31.2,28.3,26.9,24.4,79,84,yes,4.5,210.0,8.9,2023,3,27
1024.4,11.2,10.4,9.4,6.8,79,94,yes,0.0,10.0,27.3,2023,3,28
1014.2,27.7,25.4,24.0,23.4,89,86,yes,2.8,70.0,28.3,2023,3,29
1009.1,35.1,31.3,29.4,26.3,75,57,yes,9.9,160.0,11.9,2023,3,30
1006.0,33.0,30.3,28.7,26.3,79,58,no,10.0,230.0,27.4,2023,3,31
1034.6,7.1,4.9,3.1,2.2,61,96,yes,0.0,20.0,59.5,2023,4,1
1020.8,18.7,16.1,14.2,12.1,77,34,no,9.1,30.0,24.4,2023,4,2
1010.3,32.9,30.0,28.1,25.2,76,29,no,11.4,240.0,14.5,2023,4,3
1015.2,28.7,25.2,23.1,20.7,76,19,no,9.1,90.0,14.1,2023,4,4
1017.5,18.5,18.0,17.2,15.5,85,91,yes,0.0,70.0,37.7,2023,4,5
1018.9,16.2,14.1,10.3,12.9,92,100,yes,0.0,50.0,35.3,2023,4,6
1008.3,32.0,29.4,27.0,26.4,84,57,yes,7.4,60.0,17.5,2023,4,7
1006.6,33.5,29.9,28.7,24.7,74,49,yes,6.3,270.0,16.1,2023,4,8
1020.4,27.2,25.6,24.4,21.6,79,66,yes,5.3,80.0,40.8,2023,4,9
1012.5,28.4,24.6,22.0,22.3,87,80,yes,4.8,30.0,7.3,2023,4,10
1014.8,24.6,21.7,17.4,18.1,81,82,yes,3.9,20.0,15.3,2023,4,11
1010.2,28.2,25.3,23.1,16.7,59,79,no,4.4,20.0,17.3,2023,4,12
1008.9,35.5,31.4,28.9,26.1,74,39,no,10.6,150.0,9.1,2023,4,13
1010.5,30.8,29.3,27.7,26.0,83,81,yes,2.3,200.0,19.8,2023,4,14
1013.0,24.9,22.4,20.3,21.4,94,85,yes,1.5,40.0,12.5,2023,4,15
1011.9,31.0,28.1,26.9,24.5,81,86,yes,2.1,70.0,32.2,2023,4,16
1011.3,29.4,26.8,24.8,20.9,70,45,yes,7.1,20.0,20.4,2023,4,17
1025.4,18.2,16.2,13.8,8.7,62,71,no,2.1,30.0,29.0,2023,4,18
1007.8,28.9,27.4,25.7,25.4,89,87,yes,0.4,50.0,8.6,2023,4,19
1012.5,21.5,20.1,18.9,18.9,93,88,no,0.3,40.0,15.3,2023,4,20
1014.6,22.9,21.6,20.2,19.5,88,89,yes,0.2,40.0,20.9,2023,4,21
1008.4,34.1,30.4,28.4,24.7,72,20,no,11.4,210.0,9.6,2023,4,22
1005.9,27.8,26.6,25.4,25.4,93,85,yes,0.0,230.0,20.0,2023,4,23
1008.4,34.1,30.4,28.4,24.7,72,20,no,11.4,210.0,9.6,2023,4,24
1011.4,23.5,21.1,20.6,20.6,97,88,yes,0.0,30.0,20.0,2023,4,25
1013.2,26.9,23.9,22.4,22.3,91,84,no,1.8,40.0,10.0,2023,4,26
1022.5,22.9,20.8,19.2,15.0,70,49,no,8.6,70.0,34.0,2023,4,27
1007.6,30.3,27.7,24.5,25.6,89,89,yes,1.2,200.0,24.0,2023,4,28
1010.1,22.8,21.5,20.1,19.9,91,89,yes,0.0,70.0,31.8,2023,4,29
1013.9,26.3,24.1,22.9,19.6,76,68,yes,6.0,90.0,30.5,2023,4,30
1008.2,32.1,29.4,26.7,25.9,82,85,yes,7.2,220.0,12.8,2023,5,1
1007.9,29.6,28.0,26.4,25.6,87,84,yes,0.1,230.0,22.9,2023,5,2
1007.9,32.3,29.9,26.7,25.8,79,78,yes,4.1,220.0,25.1,2023,5,3
1016.8,26.6,25.9,25.4,21.7,77,77,yes,3.0,80.0,37.5,2023,5,4
1016.2,20.7,20.0,19.4,17.1,83,88,no,0.2,70.0,39.5,2023,5,5
1024.7,17.5,15.5,13.8,11.7,79,79,yes,5.0,20.0,9.1,2023,5,6
1019.6,16.8,15.5,14.8,13.9,90,92,yes,0.0,70.0,50.6,2023,5,7
1002.2,31.1,28.9,26.1,26.1,85,89,yes,2.4,240.0,19.8,2023,5,8
1013.3,27.9,25.3,23.2,22.9,87,84,yes,2.5,40.0,9.1,2023,5,9
1016.3,28.4,26.2,25.2,23.4,85,87,yes,3.4,80.0,24.8,2023,5,10
1010.9,33.3,30.0,27.5,25.3,76,49,yes,8.8,220.0,12.3,2023,5,11
1014.2,27.7,25.4,24.0,23.4,89,86,yes,2.8,70.0,28.3,2023,5,12
1005.9,28.3,26.5,24.7,24.3,88,77,yes,1.9,230.0,25.9,2023,5,13
1034.6,7.1,4.9,3.1,2.2,61,96,yes,0.0,20.0,59.5,2023,5,14
1014.9,22.4,18.8,17.2,16.4,86,80,yes,2.4,40.0,15.8,2023,5,15
1014.1,26.8,26.0,25.3,25.4,97,86,yes,0.4,100.0,30.4,2023,5,16
1008.2,27.7,24.9,22.6,22.8,88,81,yes,0.3,240.0,13.0,2023,5,17
1021.2,24.1,22.1,20.3,17.4,75,40,no,8.8,60.0,16.0,2023,5,18
1014.1,26.8,26.0,25.3,25.4,97,86,yes,0.4,100.0,30.4,2023,5,19
1008.2,29.1,26.8,25.4,24.0,85,83,yes,3.6,230.0,20.2,2023,5,20
1009.9,30.5,28.4,27.2,25.3,83,84,no,2.9,190.0,15.5,2023,5,21
1014.3,17.4,16.5,15.6,16.0,97,97,yes,0.0,50.0,26.5,2023,5,22
1008.5,34.4,30.8,28.6,26.3,78,59,yes,9.1,170.0,12.1,2023,5,23
1001.0,34.2,31.0,28.1,25.9,75,46,no,10.4,280.0,23.5,2023,5,24
1023.9,15.7,13.7,11.6,9.2,75,88,yes,0.2,20.0,19.4,2023,5,25
1020.4,27.2,25.6,24.4,21.6,79,66,yes,5.3,80.0,40.8,2023,5,26
1008.1,28.4,26.6,23.7,24.3,87,84,yes,0.3,220.0,12.0,2023,5,27
1023.8,20.6,16.6,14.4,11.4,72,32,no,10.6,60.0,27.1,2023,5,28
1012.0,30.6,27.0,25.3,20.9,70,48,no,7.8,120.0,9.2,2023,5,29
1014.5,25.3,21.9,19.9,19.5,86,83,no,3.6,50.0,8.3,2023,5,30
1013.4,21.6,19.2,17.6,18.5,95,86,yes,0.6,30.0,13.9,2023,5,31
1007.6,29.5,27.6,26.7,24.8,85,84,yes,1.8,70.0,34.8,2023,6,1
1009.8,31.9,29.2,25.6,25.6,82,70,yes,6.4,220.0,22.6,2023,6,2
1017.0,29.2,26.7,25.5,23.3,82,46,yes,9.5,110.0,15.8,2023,6,3
1006.9,26.2,25.2,24.3,24.2,94,88,yes,0.1,40.0,22.3,2023,6,4
1018.9,25.2,22.4,20.4,17.7,75,56,yes,6.0,100.0,15.7,2023,6,5
1021.8,21.4,18.8,17.0,15.0,79,56,no,3.4,30.0,21.5,2023,6,6
1008.8,30.4,26.9,25.0,24.3,86,87,yes,0.7,20.0,9.8,2023,6,7
1005.9,28.3,26.5,24.7,24.3,88,77,yes,1.9,230.0,25.9,2023,6,8
1023.8,20.6,16.6,14.4,11.4,72,32,no,10.6,60.0,27.1,2023,6,9
1013.2,26.9,23.9,22.4,22.3,91,84,no,1.8,40.0,10.0,2023,6,10
1013.0,29.0,27.6,25.8,25.8,90,87,yes,0.7,60.0,18.2,2023,6,11
1014.5,17.0,15.8,14.4,15.1,96,99,yes,0.0,50.0,22.8,2023,6,12
1006.6,33.0,30.1,28.0,25.9,78,83,yes,6.8,180.0,33.0,2023,6,13
1014.4,26.7,23.1,20.1,20.8,87,81,yes,1.2,80.0,19.6,2023,6,14
1015.2,27.8,26.7,25.4,25.4,93,88,yes,0.9,100.0,37.0,2023,6,15
1017.0,26.0,24.8,23.9,21.1,80,83,no,0.4,70.0,40.4,2023,6,16
1015.6,26.3,25.5,24.7,22.4,83,81,yes,0.5,80.0,30.2,2023,6,17
1006.7,32.2,28.7,26.9,26.3,87,71,yes,4.7,90.0,14.0,2023,6,18
1011.4,31.2,28.7,27.3,25.2,82,80,no,3.8,150.0,9.5,2023,6,19
1007.9,31.0,29.1,27.2,26.1,84,77,yes,3.6,210.0,19.0,2023,6,20
1015.2,28.7,25.2,23.1,20.7,76,19,no,9.1,90.0,14.1,2023,6,21
1006.7,31.4,29.4,28.2,25.9,82,88,yes,1.6,230.0,23.2,2023,6,22
1016.4,21.0,20.4,19.7,17.8,85,83,yes,0.0,70.0,30.3,2023,6,23
1020.4,21.4,18.2,16.1,13.5,75,89,yes,0.7,10.0,27.6,2023,6,24
1007.9,33.8,28.7,24.7,25.4,83,75,yes,5.5,220.0,20.8,2023,6,25
1014.6,30.6,28.2,27.1,24.2,79,72,yes,7.1,70.0,27.4,2023,6,26
1020.3,16.3,15.3,14.6,13.3,88,94,yes,0.0,40.0,22.2,2023,6,27
1011.3,29.4,26.8,24.8,20.9,70,45,yes,7.1,20.0,20.4,2023,6,28
1013.0,29.0,27.6,25.8,25.8,90,87,yes,0.7,60.0,18.2,2023,6,29
1023.8,20.9,16.6,13.3,11.5,72,49,no,9.5,20.0,9.2,2023,6,30
1010.6,33.3,29.5,27.3,24.5,75,38,no,10.3,20.0,5.5,2023,7,1
1008.2,29.1,26.8,25.4,24.0,85,83,yes,3.6,230.0,20.2,2023,7,2
1005.9,27.8,26.6,25.4,25.4,93,85,yes,0.0,230.0,20.0,2023,7,3
1012.2,23.4,22.5,20.8,18.7,80,89,yes,0.3,60.0,27.0,2023,7,4
1011.6,27.5,25.7,24.4,23.2,86,88,yes,1.2,200.0,17.3,2023,7,5
1014.6,30.6,28.2,27.1,24.2,79,72,yes,7.1,70.0,27.4,2023,7,6
1016.7,26.6,24.5,23.3,19.8,76,35,yes,9.8,70.0,31.2,2023,7,7
1012.5,28.1,23.6,20.7,21.4,88,84,yes,2.2,120.0,8.0,2023,7,8
1017.4,21.8,20.5,20.1,18.1,86,88,yes,0.0,70.0,35.3,2023,7,9
1013.2,27.8,26.7,24.9,25.2,92,95,yes,0.0,120.0,50.7,2023,7,10
1012.5,22.9,20.8,17.1,19.9,95,88,yes,0.6,50.0,15.1,2023,7,11
1022.0,21.7,18.9,17.2,15.6,81,83,yes,0.6,50.0,15.3,2023,7,12
1006.8,27.9,26.6,25.8,25.2,92,88,yes,0.0,220.0,5.9,2023,7,13
1022.7,18.8,17.7,16.9,15.0,84,90,yes,0.0,30.0,18.4,2023,7,14
1018.9,22.3,20.6,19.1,18.8,90,88,yes,1.0,50.0,16.9,2023,7,15
1001.0,34.2,31.0,28.1,25.9,75,46,no,10.4,280.0,23.5,2023,7,16
1006.7,31.4,29.4,28.2,25.9,82,88,yes,1.6,230.0,23.2,2023,7,17
1021.2,18.6,14.8,12.3,8.4,66,18,no,10.1,20.0,24.4,2023,7,18
1006.9,26.2,25.2,24.3,24.2,94,88,yes,0.1,40.0,22.3,2023,7,19
1018.0,22.1,20.5,18.5,16.6,78,88,yes,0.0,20.0,38.3,2023,7,20
1017.6,25.1,22.9,22.0,19.0,79,85,no,2.0,70.0,25.0,2023,7,21
1010.9,33.3,30.0,27.5,25.3,76,49,yes,8.8,220.0,12.3,2023,7,22
1020.0,19.9,17.6,16.2,15.5,88,80,no,3.3,50.0,21.2,2023,7,23
1003.8,29.0,28.1,27.0,25.1,84,88,yes,0.0,230.0,16.3,2023,7,24
1005.0,31.5,29.7,28.5,26.7,84,90,yes,1.3,220.0,24.3,2023,7,25
1015.8,30.3,26.7,24.8,23.3,82,58,yes,7.7,50.0,12.8,2023,7,26
1024.7,17.5,15.5,13.8,11.7,79,79,yes,5.0,20.0,9.1,2023,7,27
1016.8,24.7,22.3,21.1,20.7,91,70,yes,6.0,40.0,9.4,2023,7,28
1024.1,19.9,16.9,15.2,10.0,65,58,no,5.6,60.0,26.9,2023,7,29
1006.0,33.0,30.3,28.7,26.3,79,58,no,10.0,230.0,27.4,2023,7,30
1017.3,24.2,23.9,23.6,21.1,84,88,yes,0.0,80.0,41.4,2023,7,31
1006.8,30.3,28.9,26.4,26.2,86,83,yes,0.2,230.0,14.3,2023,8,1
1011.1,31.0,28.1,26.8,23.7,77,46,yes,8.4,100.0,21.4,2023,8,2
998.5,36.3,32.4,30.0,24.0,62,55,no,10.8,290.0,17.2,2023,8,3
1005.1,33.9,30.1,27.0,24.9,74,47,yes,10.4,50.0,14.1,2023,8,4
1012.5,28.4,24.6,22.0,22.3,87,80,yes,4.8,30.0,7.3,2023,8,5
1026.4,20.5,17.8,15.5,13.0,74,66,no,5.7,20.0,23.3,2023,8,6
1010.5,30.8,29.3,27.7,26.0,83,81,yes,2.3,200.0,19.8,2023,8,7
1025.9,18.9,17.7,16.4,13.3,75,78,yes,4.6,70.0,33.4,2023,8,8
1002.2,33.4,30.0,26.9,25.5,77,70,no,7.7,350.0,13.6,2023,8,9
1027.5,15.5,13.7,12.3,10.0,78,88,yes,0.0,20.0,28.0,2023,8,10
1009.1,21.3,20.3,19.9,19.3,94,88,yes,0.0,70.0,29.8,2023,8,11
1006.3,30.0,27.1,24.1,25.1,89,85,yes,3.1,190.0,12.6,2023,8,12
1013.3,27.9,25.3,23.2,22.9,87,84,yes,2.5,40.0,9.1,2023,8,13
1009.3,33.4,30.2,28.0,25.3,76,44,yes,10.1,200.0,9.5,2023,8,14
1007.5,32.3,29.1,26.3,26.3,85,83,yes,4.2,220.0,26.1,2023,8,15
1017.2,25.9,24.8,24.4,21.6,82,73,yes,1.1,80.0,30.6,2023,8,16
1009.1,32.0,29.4,26.9,26.0,82,86,yes,2.7,200.0,21.9,2023,8,17
1021.8,21.4,18.8,17.0,15.0,79,56,no,3.4,30.0,21.5,2023,8,18
1019.9,16.2,15.7,15.3,13.4,86,93,yes,0.1,70.0,43.1,2023,8,19
1021.9,15.0,13.7,11.7,11.8,89,95,yes,0.0,40.0,18.6,2023,8,20
1022.3,16.7,15.5,13.7,14.3,92,88,yes,0.0,20.0,19.3,2023,8,21
1011.9,31.0,28.1,26.9,24.5,81,86,yes,2.1,70.0,32.2,2023,8,22
1016.4,21.0,20.4,19.7,17.8,85,83,yes,0.0,70.0,30.3,2023,8,23
1023.8,20.6,16.6,14.4,11.4,72,32,no,10.6,60.0,27.1,2023,8,24
1020.6,18.9,18.1,17.1,14.3,78,79,no,3.3,70.0,39.3,2023,8,25
1016.8,24.7,22.3,21.1,20.7,91,70,yes,6.0,40.0,9.4,2023,8,26
1009.1,21.3,20.3,19.9,19.3,94,88,yes,0.0,70.0,29.8,2023,8,27
1018.4,20.3,18.4,15.7,15.8,85,91,yes,0.1,70.0,41.3,2023,8,28
1013.3,24.4,22.3,20.7,20.8,91,78,yes,1.0,40.0,14.8,2023,8,29
1018.8,24.3,20.9,19.2,18.0,84,51,yes,7.7,20.0,14.5,2023,8,30
1025.3,19.2,17.3,15.2,13.3,78,86,yes,1.2,20.0,20.9,2023,8,31
1015.2,24.8,24.2,23.5,22.3,89,84,yes,0.1,80.0,35.8,2023,9,1
1021.2,18.6,14.8,12.3,8.4,66,18,no,10.1,20.0,24.4,2023,9,2
1014.6,26.5,23.0,21.0,20.7,87,88,no,2.3,50.0,9.2,2023,9,3
1011.0,32.7,29.8,28.2,24.8,75,78,yes,8.5,140.0,12.7,2023,9,4
1019.5,17.2,13.4,10.0,12.2,93,93,yes,0.0,20.0,39.7,2023,9,5
1003.4,33.3,30.7,28.2,24.9,72,40,no,10.0,290.0,10.9,2023,9,6
1012.4,31.6,27.9,26.5,23.1,76,82,yes,4.2,10.0,30.6,2023,9,7
1007.6,29.5,27.6,26.7,24.8,85,84,yes,1.8,70.0,34.8,2023,9,8
1010.9,33.3,30.0,27.5,25.3,76,49,yes,8.8,220.0,12.3,2023,9,9
1015.9,21.3,20.7,20.2,19.9,95,81,yes,0.0,40.0,13.7,2023,9,10
1028.9,16.8,14.8,13.5,10.5,76,87,no,0.1,20.0,20.4,2023,9,11
1028.9,16.8,14.8,13.5,10.5,76,87,no,0.1,20.0,20.4,2023,9,12
1016.8,24.7,22.3,21.1,20.7,91,70,yes,6.0,40.0,9.4,2023,9,13
1017.1,15.5,14.8,14.0,11.1,79,94,yes,0.0,70.0,38.0,2023,9,14
1022.5,18.6,17.6,17.0,12.9,75,88,yes,0.0,40.0,19.0,2023,9,15
1010.5,30.0,27.8,26.1,23.1,76,54,no,10.6,300.0,13.0,2023,9,16
1017.4,28.2,25.0,23.1,20.1,75,51,no,7.4,70.0,23.9,2023,9,17
1018.2,17.4,16.1,14.8,15.7,98,100,yes,0.0,60.0,28.8,2023,9,18
1008.2,30.2,27.8,26.5,25.0,85,81,yes,2.5,90.0,15.1,2023,9,19
1006.7,32.0,29.3,27.4,24.7,77,23,no,11.1,230.0,17.3,2023,9,20
1008.1,33.2,30.6,29.0,26.4,79,69,yes,8.5,240.0,25.1,2023,9,21
1020.3,20.6,19.9,18.7,17.6,87,88,yes,0.3,60.0,27.3,2023,9,22
1008.8,29.1,26.2,24.8,24.7,91,80,yes,2.2,20.0,11.2,2023,9,23
1011.1,31.0,28.1,26.8,23.7,77,46,yes,8.4,100.0,21.4,2023,9,24
1024.3,17.5,13.2,11.4,6.6,64,88,yes,0.0,20.0,33.5,2023,9,25
1007.6,30.3,27.7,24.5,25.6,89,89,yes,1.2,200.0,24.0,2023,9,26
1007.8,28.9,27.4,25.7,25.4,89,87,yes,0.4,50.0,8.6,2023,9,27
1015.0,31.8,28.5,26.8,24.0,77,47,yes,8.6,70.0,14.5,2023,9,28
1017.7,14.5,13.6,12.7,11.4,87,100,yes,0.0,50.0,36.0,2023,9,29
1006.6,33.5,29.9,28.7,24.7,74,49,yes,6.3,270.0,16.1,2023,9,30
1010.5,30.0,27.8,26.1,23.1,76,54,no,10.6,300.0,13.0,2023,10,1
1006.6,33.0,30.1,28.0,25.9,78,83,yes,6.8,180.0,33.0,2023,10,2
1024.4,24.8,18.5,14.4,10.1,61,19,no,10.7,40.0,16.9,2023,10,3
1010.2,29.2,26.4,24.3,19.3,65,64,yes,6.4,10.0,13.2,2023,10,4
1009.2,26.3,23.3,21.3,21.9,92,93,yes,0.0,190.0,20.5,2023,10,5
1017.4,21.8,20.5,20.1,18.1,86,88,yes,0.0,70.0,35.3,2023,10,6
1024.1,19.9,16.9,15.2,10.0,65,58,no,5.6,60.0,26.9,2023,10,7
1008.3,29.1,26.2,23.8,17.3,58,78,no,7.5,10.0,17.2,2023,10,8
1005.6,31.3,29.7,27.4,20.0,56,53,no,10.4,230.0,15.5,2023,10,9
1017.5,18.5,18.0,17.2,15.5,85,91,yes,0.0,70.0,37.7,2023,10,10
1007.9,29.6,28.0,26.4,25.6,87,84,yes,0.1,230.0,22.9,2023,10,11
1007.8,32.8,30.1,28.6,26.2,80,73,no,7.2,230.0,31.7,2023,10,12
1019.5,25.8,23.7,22.3,18.8,74,82,yes,2.4,70.0,32.9,2023,10,13
1005.7,29.2,27.1,25.4,25.8,93,96,yes,0.0,220.0,29.8,2023,10,14
1014.8,24.6,21.7,17.4,18.1,81,82,yes,3.9,20.0,15.3,2023,10,15
1005.7,31.1,27.9,26.6,25.8,89,80,yes,4.5,220.0,14.6,2023,10,16
1017.3,24.2,23.9,23.6,21.1,84,88,yes,0.0,80.0,41.4,2023,10,17
1027.1,13.5,10.4,8.1,2.5,59,85,yes,0.4,20.0,21.3,2023,10,18
1019.4,22.3,20.8,19.6,16.5,77,93,yes,0.0,20.0,27.9,2023,10,19
1007.6,29.5,27.6,26.7,24.8,85,84,yes,1.8,70.0,34.8,2023,10,20
1010.6,31.0,28.7,27.1,25.1,81,69,no,4.7,170.0,12.1,2023,10,21
1013.3,24.4,22.3,20.7,20.8,91,78,yes,1.0,40.0,14.8,2023,10,22
1008.4,34.1,30.4,28.4,24.7,72,20,no,11.4,210.0,9.6,2023,10,23
1016.8,26.6,25.9,25.4,21.7,77,77,yes,3.0,80.0,37.5,2023,10,24
